ground,0,580,4000,20
start,104,540,40,50
goal,3867,257,80,80
platform,340,500,138,20
trampoline,130,520,80,20
platform,501,500,123,20
platform,627,500,135,20
wall_3d,564,400,20,100
platform,504,480,80,20
platform,839,473,122,20
platform,942,476,125,20
platform,1134,500,81,20
spike,1018,580,20,20
spike,1038,580,20,20
platform,1380,500,188,20
slope,1322,400,100,100,100,0
platform,1422,400,100,20
platform,1627,412,99,20
spike,1483,580,20,20
spike,1503,580,20,20
platform,1815,325,186,20
wall_3d,1721,225,20,100
platform,1661,305,80,20
platform,1988,374,108,20
platform,2237,392,154,20
trampoline,2028,354,80,20
platform,2431,444,187,20
spike,2314,580,20,20
spike,2334,580,20,20
spike,2354,580,20,20
platform,2639,489,153,20
trampoline,2464,424,80,20
platform,2888,500,156,20
trampoline,2668,469,80,20
platform,3108,500,131,20
slope,3019,400,100,100,100,0
platform,3119,400,100,20
platform,3266,463,174,20
spike,3147,580,20,20
spike,3167,580,20,20
spike,3187,580,20,20
spike,3207,580,20,20
platform,3373,500,119,20
slope,3385,363,100,100,100,0
platform,3485,363,100,20
platform,3515,492,190,20
platform,3620,427,168,20
slope,3683,392,100,100,100,0
platform,3783,392,100,20
platform,3844,395,95,20
trampoline,3651,407,80,20
wall_3d,1760,325,20,54
wall_3d,2862,191,20,117
platform,3642,217,53,20
wall_3d,1666,470,20,66
wall_3d,637,119,20,92
platform,2182,220,61,20
wall_3d,918,281,20,116
wall_3d,1821,226,20,107
platform,864,212,57,20
platform,3422,285,86,20
platform,1631,301,71,20
wall_3d,1039,453,20,52
platform,1607,439,94,20
wall_3d,1782,226,20,89
platform,844,190,58,20
platform,724,446,52,20
platform,1377,229,93,20
